target,text
0,"['boat', 'still', 'mom', 'check', 'yo', 'half', 'nake']"
1,"['bank', 'granit', 'issu', 'explos', 'pick', 'member', 'nasdaq', 'symbol', 'cdgt', 'per']"
0,"['r', 'give', 'second', 'chanc', 'rahul', 'dengra']"
0,"['play', 'smash', 'bro', 'lt', 'gt', 'religi']"
1,"['privat', 'account', 'statement', 'show', 'point', 'call', 'identifi', 'code', 'expir']"
0,"['g', 'say', 'never', 'answer', 'text']"
1,"['lost', 'help']"
0,"['okey', 'dokey', 'bit', 'sort', 'stuff']"
0,"['come', 'peopl']"
0,"['wah', 'lucki', 'man', 'save', 'money', 'hee']"
0,"['much', 'better', 'thank', 'lol']"
0,"['madam', 'regret', 'receiv', 'refer', 'check', 'dlf', 'rakhesh', 'kerala']"
0,"['come', 'home', 'dinner']"
0,['ok']
0,"['decid', 'faster', 'co', 'si', 'go', 'home', 'liao']"
0,"['hi', 'mate', 'rv', 'u', 'hav', 'nice', 'hol', 'messag', 'say', 'hello', 'coz', 'havenåõt', 'sent', 'u', 'age', 'start', 'drive', 'stay', 'road', 'rvx']"
0,"['amaz', 'rearrang', 'letter', 'give', 'mean', 'dormitori', 'dirti', 'room', 'astronom', 'moon', 'starer', 'eye', 'see', 'elect', 'result', 'lie', 'let', 'recount', 'woman', 'hitler', 'eleven', 'plu', 'two', 'plu', 'one', 'amaz']"
0,"['good', 'morn', 'plz', 'call', 'sir']"
0,"['k', 'actual', 'guy', 'meet', 'sunoco', 'howard', 'right', 'way']"
0,"['new', 'theori', 'argument', 'win', 'situat', 'lose', 'person', 'dont', 'argu', 'ur', 'friend', 'kick', 'amp', 'say', 'alway', 'correct']"
0,"['oh', 'yeah', 'diet', 'flew', 'window']"
0,"['watch', 'cartoon', 'listen', 'music', 'amp', 'eve', 'go', 'templ', 'amp', 'church', 'u']"
0,"['india', 'win', 'level', 'seri', 'mean', 'record']"
0,"['armand', 'say', 'get', 'ass', 'epsilon']"
0,"['tell', 'said', 'eat', 'shit']"
0,"['oh', 'phone', 'phone', 'disconnect']"
1,"['pleas', 'call', 'custom', 'servic', 'repres', 'freephon', 'guarante', 'cash', 'prize']"
0,"['hey', 'sweet', 'wonder', 'moment', 'might', 'come', 'want', 'send', 'file', 'someon', 'wo', 'go', 'yahoo', 'connect', 'suck', 'rememb', 'set', 'page', 'go', 'download', 'format', 'disc', 'could', 'tell', 'know', 'way', 'download', 'big', 'file', 'download', 'stuff', 'directli', 'internet', 'help', 'would', 'great', 'prey', 'teas', 'kiss']"
